arquivo	palavra	label
TCU4687.txt	GRUPO	O
TCU4687.txt	I	O
TCU4687.txt	CLASSE	O
TCU4687.txt	II	O
TCU4687.txt	2ª	B-ORGANIZACAO
TCU4687.txt	Câmara	I-ORGANIZACAO
TCU4687.txt	TC	B-JURISPRUDENCIA
TCU4687.txt	019.040/2013-0	I-JURISPRUDENCIA
TCU4687.txt	Natureza	O
TCU4687.txt	:	O
TCU4687.txt	Tomada	O
TCU4687.txt	de	O
TCU4687.txt	Contas	O
TCU4687.txt	Especial	O
TCU4687.txt	Entidade	O
TCU4687.txt	:	O
TCU4687.txt	Projeto	B-ORGANIZACAO
TCU4687.txt	Aero	I-ORGANIZACAO
TCU4687.txt	Circus	I-ORGANIZACAO
TCU4687.txt	Espetáculos	I-ORGANIZACAO
TCU4687.txt	Itinerantes	I-ORGANIZACAO
TCU4687.txt	Responsável	O
TCU4687.txt	:	O
TCU4687.txt	Robsmar	B-PESSOA
TCU4687.txt	da	I-PESSOA
TCU4687.txt	Silva	I-PESSOA
TCU4687.txt	(	O
TCU4687.txt	730.850.069-15	O
TCU4687.txt	)	O
TCU4687.txt	Interessado	O
TCU4687.txt	:	O
TCU4687.txt	Secretaria	B-ORGANIZACAO
TCU4687.txt	de	I-ORGANIZACAO
TCU4687.txt	Fomento	I-ORGANIZACAO
TCU4687.txt	e	I-ORGANIZACAO
TCU4687.txt	Incentivo	I-ORGANIZACAO
TCU4687.txt	Fomento	I-ORGANIZACAO
TCU4687.txt	À	I-ORGANIZACAO
TCU4687.txt	Cultura	I-ORGANIZACAO
TCU4687.txt	Advogado	O
TCU4687.txt	constituído	O
TCU4687.txt	nos	O
TCU4687.txt	autos	O
TCU4687.txt	:	O
TCU4687.txt	não	O
TCU4687.txt	há	O
TCU4687.txt	SUMÁRIO	O
TCU4687.txt	:	O
TCU4687.txt	TOMADA	O
TCU4687.txt	DE	O
TCU4687.txt	CONTAS	O
TCU4687.txt	ESPECIAL	O
TCU4687.txt	.	O
TCU4687.txt	LEI	B-LEGISLACAO
TCU4687.txt	ROUANET	I-LEGISLACAO
TCU4687.txt	.	O
TCU4687.txt	OMISSÃO	O
TCU4687.txt	NO	O
TCU4687.txt	DEVER	O
TCU4687.txt	DE	O
TCU4687.txt	PRESTAR	O
TCU4687.txt	CONTAS	O
TCU4687.txt	.	O
TCU4687.txt	NÃO	O
TCU4687.txt	COMPROVAÇÃO	O
TCU4687.txt	DA	O
